,count,word,neighbourhood
0,56050,apartment,
1,36321,bedroom,
2,30542,kitchen,
3,25251,bed,
4,21519,park,
5,20961,private,
6,20710,one,
7,20439,restaurants,
8,20173,living,
9,19584,place,
10,19473,manhattan,
11,18587,bathroom,
12,18544,away,
13,18095,walk,
14,18038,full,
15,17891,access,
16,17858,new,
17,17718,great,
18,17645,subway,
19,17612,located,
20,17475,space,
21,17352,neighborhood,
22,17130,train,
23,16179,close,
24,15657,building,
25,15548,brooklyn,
26,15298,two,
27,14538,large,
28,14317,floor,
29,13612,blocks,
30,13156,minutes,
31,12630,street,
32,12586,quiet,
33,12418,city,
34,12102,area,
35,11881,bars,
36,11871,available,
37,11863,also,
38,11851,home,
39,11766,east,
40,11458,central,
41,11284,block,
42,10960,spacious,
43,10790,clean,
44,10470,size,
45,10417,queen,
46,10297,beautiful,
47,10226,nyc,
48,10155,square,
49,9731,tv,
50,9728,location,
51,9720,stay,
52,9670,guests,
53,9645,apt,
54,9500,heart,
55,9331,comfortable,
56,8934,wifi,
57,8001,cozy,
58,7966,studio,
59,7754,walking,
60,7706,love,
61,7619,best,
62,7617,min,
63,7532,well,
64,7489,york,
65,7472,williamsburg,
66,7371,village,
67,7202,trains,
68,7138,fully,
69,7128,good,
70,7119,minute,
71,7065,need,
72,6907,people,
73,6884,light,
74,6701,distance,
75,6521,coffee,
76,6506,side,
77,6505,around,
78,6414,right,
79,6359,near,
80,6328,perfect,
81,6306,use,
82,6172,shared,
83,6144,high,
84,6133,house,
85,6124,west,
86,6050,free,
87,5943,like,
88,5876,shops,
89,5819,please,
90,5752,enjoy,
91,5747,everything,
92,5725,renovated,
93,5680,safe,
94,5652,easy,
95,5603,windows,
96,5580,lots,
97,5552,times,
98,5525,time,
99,5514,modern,
100,5497,loft,
101,5495,station,
102,5465,many,
103,5419,closet,
104,5400,within,
105,5367,furnished,
106,5279,get,
107,5272,steps,
108,5168,couples,
109,5128,amazing,
110,5120,guest,
111,5056,bedrooms,
112,5045,dining,
113,5015,laundry,
114,4999,big,
115,4989,stop,
116,4875,lines,
117,4806,feel,
118,4792,small,
119,4784,shopping,
120,4770,solo,
121,4769,center,
122,4730,business,
123,4713,garden,
124,4688,air,
125,4673,sunny,
126,4664,equipped,
127,4615,nice,
128,4481,towels,
129,4396,prospect,
130,4381,floors,
131,4380,entire,
132,4374,views,
133,4346,cable,
134,4282,bath,
135,4260,open,
136,4147,travelers,
137,4118,adventurers,
138,4093,internet,
139,4077,ceilings,
