,count,word,neighbourhood
0,4336,seattle,
1,3201,downtown,
2,3034,bedroom,
3,2991,kitchen,
4,2954,home,
5,2690,bed,
6,2634,space,
7,2573,apartment,
8,2457,house,
9,2455,private,
10,2154,access,
11,2135,one,
12,2054,neighborhood,
13,2048,bathroom,
14,2018,full,
15,2011,living,
16,1995,queen,
17,1925,located,
18,1921,bus,
19,1917,walk,
20,1892,restaurants,
21,1756,hill,
22,1685,two,
23,1629,great,
24,1627,floor,
25,1496,away,
26,1445,guests,
27,1415,available,
28,1408,parking,
29,1404,place,
30,1390,quiet,
31,1374,large,
32,1371,blocks,
33,1334,area,
34,1281,street,
35,1274,capitol,
36,1265,city,
37,1257,lake,
38,1192,close,
39,1173,also,
40,1164,walking,
41,1154,new,
42,1148,coffee,
43,1125,minutes,
44,1035,comfortable,
45,1034,stay,
46,1030,enjoy,
47,1028,easy,
48,1027,location,
49,1023,park,
50,1011,bath,
51,996,free,
52,964,light,
53,963,tv,
54,959,distance,
55,958,studio,
56,941,unit,
57,935,view,
58,901,modern,
59,896,beautiful,
60,890,views,
61,869,center,
62,868,well,
63,857,heart,
64,856,cozy,
65,853,use,
66,829,shops,
67,818,size,
68,814,deck,
69,811,within,
70,808,building,
71,792,market,
72,780,wifi,
73,776,dining,
74,760,need,
75,756,bedrooms,
76,754,shared,
77,744,bars,
78,733,small,
79,728,spacious,
80,724,block,
81,716,guest,
82,700,ballard,
83,693,please,
84,688,fully,
85,688,everything,
86,686,perfect,
87,685,people,
88,683,seattles,
89,674,clean,
90,670,right,
91,629,near,
92,629,main,
93,627,garden,
94,622,best,
95,600,washington,
96,600,like,
97,599,entrance,
98,597,pike,
99,597,laundry,
100,592,open,
101,575,university,
102,566,minute,
103,561,floors,
104,556,back,
105,555,patio,
106,553,front,
107,536,basement,
108,529,closet,
109,526,dryer,
110,524,lots,
111,522,around,
112,522,needle,
113,520,many,
114,519,door,
115,514,top,
116,510,fremont,
117,508,includes,
118,505,furnished,
119,504,shower,
120,495,suite,
121,492,get,
122,487,live,
123,483,amenities,
124,478,yard,
125,478,district,
126,476,family,
127,472,shopping,
128,469,anne,
129,465,condo,
130,464,min,
131,463,feel,
132,463,west,
133,457,make,
134,456,entire,
135,455,windows,
136,455,union,
137,454,offer,
138,451,love,
139,451,separate,
140,450,time,
141,447,plenty,
142,447,couch,
143,446,take,
144,445,youll,
145,444,master,
146,441,welcome,
147,438,washer,
148,434,cable,
149,432,mattress,
150,427,equipped,
151,426,level,
152,426,features,
153,425,lines,
154,424,uw,
155,423,green,
156,422,short,
157,420,water,
158,419,amazing,
159,417,beds,
160,415,sofa,
161,414,internet,
162,405,tub,
163,404,upstairs,
164,404,backyard,
165,401,high,
166,399,day,
167,399,beach,
168,398,friendly,
169,397,miles,
170,394,first,
171,385,including,
172,383,sized,
173,381,central,
174,378,parks,
175,378,steps,
176,374,car,
177,374,local,
178,374,gas,
179,370,rail,
180,366,microwave,
181,364,air,
182,363,table,
183,361,work,
184,360,privacy,
185,354,second,
186,351,town,
187,350,rooms,
188,349,three,
189,346,may,
190,344,nice,
191,344,north,
192,344,next,
193,343,grocery,
194,339,airport,
195,338,nearby,
196,338,provided,
197,337,us,
198,336,outdoor,
199,334,sound,
200,333,want,
201,329,ride,
202,329,see,
203,327,happy,
204,327,lovely,
205,326,night,
206,324,lower,
207,323,craftsman,
208,319,charming,
209,319,towels,
210,315,neighborhoods,
211,315,sleeps,
212,312,bright,
213,310,rooftop,
214,309,help,
215,309,apt,
216,309,sleep,
217,307,brand,
218,306,public,
219,303,king,
220,301,offers,
221,300,south,
222,299,check,
223,299,provide,
224,297,convenient,
225,296,little,
226,296,urban,
227,291,bathrooms,
228,291,twin,
229,290,share,
230,289,go,
231,289,cottage,
232,289,etc,
