,count,word,neighbourhood
0,6817,bedroom,
1,6436,kitchen,
2,6154,san,
3,5684,apartment,
4,5328,bed,
5,5293,francisco,
6,5241,private,
7,5117,home,
8,4777,one,
9,4499,access,
10,4493,living,
11,4448,street,
12,4093,located,
13,4075,house,
14,4049,restaurants,
15,4029,bathroom,
16,3959,park,
17,3667,city,
18,3631,full,
19,3602,space,
20,3551,large,
21,3531,great,
22,3465,walk,
23,3435,neighborhood,
24,3286,two,
25,3192,away,
26,3064,mission,
27,2995,area,
28,2981,blocks,
29,2931,queen,
30,2924,sf,
31,2685,parking,
32,2638,floor,
33,2607,close,
34,2605,quiet,
35,2591,available,
36,2503,guests,
37,2477,place,
38,2420,downtown,
39,2370,also,
40,2368,walking,
41,2365,views,
42,2348,location,
43,2262,flat,
44,2226,heart,
45,2223,gate,
46,2217,block,
47,2206,beautiful,
48,2187,easy,
49,2150,spacious,
50,2123,golden,
51,2061,bart,
52,2060,tv,
53,2022,distance,
54,2019,garden,
55,1999,modern,
56,1980,stay,
57,1923,bath,
58,1922,shared,
59,1912,public,
60,1880,district,
61,1862,comfortable,
62,1853,new,
63,1819,valley,
64,1801,dining,
65,1799,hill,
66,1775,muni,
67,1759,square,
68,1757,bus,
69,1752,unit,
70,1748,bars,
71,1748,bedrooms,
72,1722,building,
73,1712,coffee,
74,1706,studio,
75,1700,shops,
76,1671,well,
77,1666,size,
78,1650,free,
79,1639,wifi,
80,1620,best,
81,1618,enjoy,
82,1613,bay,
83,1573,victorian,
84,1524,transportation,
85,1518,deck,
86,1481,sunny,
87,1472,beach,
88,1447,use,
89,1440,perfect,
90,1414,within,
91,1393,clean,
92,1379,view,
93,1364,fully,
94,1342,top,
95,1339,near,
96,1324,minutes,
97,1314,right,
98,1299,small,
99,1291,people,
100,1257,many,
101,1256,light,
102,1253,need,
103,1252,backyard,
104,1246,castro,
105,1237,cable,
106,1235,union,
107,1224,like,
108,1197,please,
109,1193,cozy,
110,1174,heights,
111,1171,center,
112,1142,get,
113,1137,floors,
114,1129,minute,
115,1124,st,
116,1105,closet,
117,1104,back,
118,1088,around,
119,1075,everything,
120,1075,entrance,
121,1072,rooms,
122,1062,guest,
123,1053,master,
124,1050,amenities,
125,1027,open,
126,1026,beds,
127,1015,shower,
128,1005,high,
129,992,love,
130,988,remodeled,
131,977,youll,
132,973,family,
133,953,laundry,
134,947,shopping,
135,939,furnished,
136,923,windows,
137,918,front,
138,912,steps,
139,901,lots,
140,900,noe,
141,900,plenty,
142,891,dryer,
143,890,including,
144,887,car,
145,882,condo,
146,882,bathrooms,
147,880,entire,
148,876,amazing,
149,876,min,
150,872,super,
151,869,twin,
152,851,ocean,
153,849,day,
154,845,garage,
155,841,haight,
156,838,bridge,
157,838,safe,
158,832,mattress,
159,831,work,
160,826,patio,
161,825,short,
162,821,take,
163,821,bright,
164,816,sofa,
165,815,neighborhoods,
166,813,feel,
167,809,make,
168,806,microwave,
169,804,soma,
170,800,equipped,
171,799,suite,
172,784,internet,
173,783,door,
174,779,separate,
175,779,hardwood,
176,777,nice,
177,770,renovated,
178,768,washer,
179,761,includes,
180,751,want,
181,751,live,
182,749,lines,
183,748,good,
184,745,tub,
185,745,station,
186,743,time,
187,738,cafes,
188,736,three,
189,733,desk,
190,732,apt,
191,731,north,
192,731,dolores,
193,715,central,
194,711,friendly,
195,711,level,
196,710,loft,
197,703,couch,
198,693,charming,
199,692,bernal,
200,690,welcome,
201,688,centrally,
202,687,king,
203,674,table,
204,672,business,
205,668,appliances,
206,668,market,
207,662,newly,
208,661,etc,
209,661,lower,
210,657,big,
211,655,hayes,
212,651,food,
213,639,rental,
214,639,provide,
215,639,throughout,
216,638,lovely,
217,638,ceilings,
218,635,marina,
219,630,help,
220,630,convenient,
221,630,huge,
222,629,main,
223,624,nob,
224,618,yard,
225,616,see,
226,615,offer,
227,614,features,
228,612,night,
229,610,transit,
230,606,next,
231,604,may,
232,598,sized,
233,596,whole,
234,591,second,
235,589,share,
236,588,comfy,
237,587,local,
238,582,areas,
239,581,single,
240,577,us,
241,572,sleep,
242,571,pacific,
243,566,happy,
244,559,upstairs,
245,558,would,
246,556,washerdryer,
247,556,historic,
248,555,fireplace,
249,551,sq,
250,548,youre,
251,547,line,
252,544,corner,
253,538,find,
254,537,little,
255,536,dishwasher,
256,532,outdoor,
257,532,parks,
258,529,style,
259,529,gas,
260,525,questions,
261,525,common,
262,524,nearby,
263,521,residential,
264,517,privacy,
265,516,town,
266,516,provided,
267,513,across,
268,509,franciscos,
269,502,downstairs,
270,500,ft,
271,500,wharf,
272,497,travelers,
273,495,check,
274,494,sleeps,
275,494,screen,
276,492,towels,
277,492,luxury,
278,491,experience,
279,491,fridge,
280,490,outside,
281,488,phone,
282,487,art,
283,483,included,
284,483,come,
285,482,grocery,
286,478,refrigerator,
287,477,fun,
288,477,double,
289,475,hotel,
290,467,comfortably,
291,466,brand,
292,466,looking,
293,465,stove,
294,458,go,
295,458,hot,
296,456,fishermans,
297,456,famous,
298,455,unique,
299,454,caltrain,
300,454,additional,
301,449,air,
302,449,much,
303,447,always,
304,445,community,
305,444,built,
306,442,breakfast,
307,442,ride,
308,442,im,
309,441,relax,
310,438,valencia,
311,436,edwardian,
312,433,part,
313,432,stop,
314,431,stores,
315,431,natural,
316,423,note,
317,420,bowl,
318,419,ideal,
319,417,gorgeous,
320,415,foot,
321,414,first,
322,414,vibrant,
323,412,office,
324,412,wonderful,
325,411,hidden,
326,408,alamo,
327,404,potrero,
328,403,classic,
329,403,theres,
330,402,train,
331,399,window,
332,398,financial,
333,398,person,
334,396,linens,
335,392,roof,
336,390,via,
337,389,half,
338,389,store,
339,388,stocked,
340,388,four,
341,388,shortterm,
342,388,working,
343,386,number,
344,385,world,
345,384,offers,
346,383,sunset,
347,382,fillmore,
348,381,br,
349,379,extra,
350,379,feet,
351,378,every,
352,378,sun,
353,377,glen,
354,375,water,
355,375,less,
356,374,furniture,
357,372,registration,
358,372,sharing,
359,371,old,
360,366,couples,
361,366,filled,
362,365,uber,
363,365,spot,
364,364,host,
365,364,couple,
366,362,balcony,
367,360,airbnb,
368,358,nopa,
369,355,polk,
370,354,wireless,
371,352,know,
372,352,attractions,
373,350,cooking,
374,349,set,
375,348,bar,
376,346,side,
377,344,dont,
378,344,recently,
379,344,doors,
380,343,maker,
381,342,tons,
382,342,end,
383,340,moscone,
384,340,south,
385,338,listing,
386,337,major,
387,337,gourmet,
388,336,tea,
389,336,plus,
390,335,anything,
391,333,netflix,
392,333,fresh,
393,332,needed,
394,332,att,
395,331,easily,
396,329,oven,
397,328,peaks,
398,328,staying,
399,328,friends,
400,327,give,
401,327,things,
402,326,plan,
403,326,gym,
404,325,key,
405,325,lot,
406,324,original,
407,322,russian,
408,320,cottage,
409,319,stops,
410,318,presidio,
411,316,rooftop,
412,315,chinatown,
413,315,wine,
414,314,bunk,
415,314,kids,
416,313,middle,
417,312,charm,
418,311,even,
419,310,way,
420,310,mins,
421,309,complete,
422,308,code,
423,308,chairs,
424,307,conveniently,
425,306,drive,
426,304,ground,
427,303,morning,
428,303,bbq,
429,302,wood,
430,301,property,
431,299,rent,
432,298,accessible,
433,298,sleeper,
434,297,futon,
435,296,nightlife,
436,295,families,
437,294,long,
438,293,comes,
439,293,peaceful,
440,293,several,
441,292,updated,
442,291,buses,
443,291,streets,
444,289,solo,
445,288,awesome,
446,288,overlooking,
447,286,another,
448,285,leave,
449,281,travel,
450,279,cole,
451,278,cook,
452,278,explore,
453,276,email,
454,276,completely,
455,275,excellent,
456,275,anywhere,
457,274,rest,
458,273,along,
459,272,warm,
460,272,upper,
461,272,sink,
462,269,visit,
463,267,popular,
464,267,french,
465,266,accommodate,
466,265,chair,
467,265,years,
468,263,kitchenette,
469,263,details,
470,263,california,
471,262,per,
472,261,toaster,
473,260,inside,
474,260,fast,
475,260,places,
476,259,decorated,
477,259,airport,
478,258,adventurers,
479,258,transport,
480,257,sheets,
481,257,lounge,
482,256,yet,
483,256,cool,
484,255,young,
485,255,include,
486,253,let,
487,253,baths,
488,252,situated,
489,250,story,
490,250,sleeping,
491,249,stunning,
492,248,really,
493,247,directly,
494,246,trendy,
495,246,spaces,
496,246,ask,
497,245,opens,
498,245,relaxing,
499,245,west,
500,7,beach,Seacliff
501,7,ocean,Seacliff
502,5,house,Seacliff
503,4,private,Seacliff
504,4,condo,Seacliff
505,4,spacious,Seacliff
506,4,charming,Seacliff
507,4,gg,Seacliff
508,4,views,Seacliff
509,3,seacliff,Seacliff
510,3,park,Seacliff
511,3,bedroom,Seacliff
512,2,bridge,Seacliff
513,2,beautiful,Seacliff
514,2,single,Seacliff
515,2,san,Seacliff
516,2,cottage,Seacliff
517,2,located,Seacliff
518,2,front,Seacliff
519,2,view,Seacliff
520,2,blocks,Seacliff
521,2,quiet,Seacliff
522,2,quite,Seacliff
523,2,panoramic,Seacliff
524,1,nice,Seacliff
525,1,familyfriendly,Seacliff
526,1,real,Seacliff
527,1,flat,Seacliff
528,1,minut,Seacliff
529,1,great,Seacliff
530,1,comfortably,Seacliff
531,1,abound,Seacliff
532,1,amazing,Seacliff
533,1,come,Seacliff
534,16,cole,Haight Ashbury
535,13,private,Haight Ashbury
536,12,haight,Haight Ashbury
537,12,victorian,Haight Ashbury
538,12,valley,Haight Ashbury
539,11,beautiful,Haight Ashbury
540,11,bedroom,Haight Ashbury
541,10,home,Haight Ashbury
542,10,flat,Haight Ashbury
543,10,spacious,Haight Ashbury
544,9,sf,Haight Ashbury
545,9,garden,Haight Ashbury
546,8,apartment,Haight Ashbury
547,6,cozy,Haight Ashbury
548,6,large,Haight Ashbury
549,6,remodeled,Haight Ashbury
550,5,bright,Haight Ashbury
551,5,nopa,Haight Ashbury
552,5,apt,Haight Ashbury
553,5,edwardian,Haight Ashbury
554,5,newly,Haight Ashbury
555,4,ap,Haight Ashbury
556,4,hackerhome,Haight Ashbury
557,4,park,Haight Ashbury
558,4,condo,Haight Ashbury
559,4,house,Haight Ashbury
560,4,modern,Haight Ashbury
561,4,master,Haight Ashbury
562,4,whether,Haight Ashbury
563,4,comfortable,Haight Ashbury
564,4,san,Haight Ashbury
565,4,huge,Haight Ashbury
566,4,sunny,Haight Ashbury
567,4,renovated,Haight Ashbury
568,3,walk,Haight Ashbury
569,3,br,Haight Ashbury
570,3,well,Haight Ashbury
571,3,studio,Haight Ashbury
572,3,location,Haight Ashbury
573,3,full,Haight Ashbury
574,3,new,Haight Ashbury
575,3,floor,Haight Ashbury
576,3,city,Haight Ashbury
577,3,heart,Haight Ashbury
578,3,upper,Haight Ashbury
579,3,one,Haight Ashbury
580,3,near,Haight Ashbury
581,3,francisco,Haight Ashbury
582,3,blocks,Haight Ashbury
583,3,bdrm,Haight Ashbury
584,3,perfect,Haight Ashbury
585,3,bath,Haight Ashbury
586,2,usf,Haight Ashbury
587,2,golden,Haight Ashbury
588,2,airy,Haight Ashbury
589,2,lovely,Haight Ashbury
590,2,great,Haight Ashbury
591,2,love,Haight Ashbury
592,2,historic,Haight Ashbury
593,2,block,Haight Ashbury
594,2,central,Haight Ashbury
595,2,train,Haight Ashbury
596,2,traveling,Haight Ashbury
597,2,food,Haight Ashbury
598,2,views,Haight Ashbury
599,2,mansion,Haight Ashbury
600,2,gg,Haight Ashbury
601,2,contemporary,Haight Ashbury
602,2,extremely,Haight Ashbury
603,2,fully,Haight Ashbury
604,2,view,Haight Ashbury
605,2,brand,Haight Ashbury
606,2,business,Haight Ashbury
607,2,everything,Haight Ashbury
608,2,culture,Haight Ashbury
609,2,network,Haight Ashbury
610,2,blue,Haight Ashbury
611,2,youre,Haight Ashbury
612,2,balcony,Haight Ashbury
613,2,center,Haight Ashbury
614,2,castro,Haight Ashbury
615,2,chic,Haight Ashbury
616,2,weekend,Haight Ashbury
617,2,nice,Haight Ashbury
618,2,secluded,Haight Ashbury
619,2,classic,Haight Ashbury
620,2,pleasure,Haight Ashbury
621,2,bunk,Haight Ashbury
622,2,spencer,Haight Ashbury
623,2,retreat,Haight Ashbury
624,2,located,Haight Ashbury
625,2,cottage,Haight Ashbury
626,1,cute,Haight Ashbury
627,1,parking,Haight Ashbury
628,1,apart,Haight Ashbury
629,1,square,Haight Ashbury
630,1,pr,Haight Ashbury
631,1,enjoy,Haight Ashbury
632,1,take,Haight Ashbury
633,1,write,Haight Ashbury
634,1,craftsman,Haight Ashbury
635,1,ride,Haight Ashbury
636,1,vacation,Haight Ashbury
637,1,closet,Haight Ashbury
638,1,check,Haight Ashbury
639,1,traveler,Haight Ashbury
640,1,experience,Haight Ashbury
641,1,charming,Haight Ashbury
642,1,fran,Haight Ashbury
643,1,summer,Haight Ashbury
644,1,fro,Haight Ashbury
645,1,two,Haight Ashbury
646,1,buena,Haight Ashbury
647,1,stylish,Haight Ashbury
648,1,description,Haight Ashbury
649,1,serene,Haight Ashbury
650,1,arts,Haight Ashbury
651,1,quick,Haight Ashbury
652,1,spot,Haight Ashbury
653,1,steps,Haight Ashbury
654,1,sfs,Haight Ashbury
655,1,anne,Haight Ashbury
656,1,ever,Haight Ashbury
657,1,haightashbury,Haight Ashbury
658,1,bus,Haight Ashbury
659,1,big,Haight Ashbury
660,1,corner,Haight Ashbury
661,1,partl,Haight Ashbury
662,1,valleyvictorian,Haight Ashbury
663,1,solo,Haight Ashbury
664,1,wkitchen,Haight Ashbury
665,1,youll,Haight Ashbury
666,1,traditional,Haight Ashbury
667,1,ground,Haight Ashbury
668,1,find,Haight Ashbury
669,1,welcoming,Haight Ashbury
670,1,designerdecorated,Haight Ashbury
671,1,place,Haight Ashbury
672,1,fireplace,Haight Ashbury
673,1,wbig,Haight Ashbury
674,1,terrace,Haight Ashbury
675,1,mile,Haight Ashbury
676,1,restaur,Haight Ashbury
677,1,crafts,Haight Ashbury
678,1,tworoom,Haight Ashbury
679,1,story,Haight Ashbury
680,1,queen,Haight Ashbury
681,1,furnished,Haight Ashbury
682,1,sleeps,Haight Ashbury
683,1,shops,Haight Ashbury
684,1,ahbury,Haight Ashbury
685,1,atop,Haight Ashbury
686,1,vlly,Haight Ashbury
687,1,offers,Haight Ashbury
688,1,unique,Haight Ashbury
689,1,dapper,Haight Ashbury
690,1,minute,Haight Ashbury
691,1,rm,Haight Ashbury
692,1,come,Haight Ashbury
693,1,gem,Haight Ashbury
694,1,olympus,Haight Ashbury
695,1,beau,Haight Ashbury
696,1,spectacular,Haight Ashbury
697,1,rare,Haight Ashbury
698,1,weve,Haight Ashbury
699,1,colorful,Haight Ashbury
700,1,abode,Haight Ashbury
701,1,indoor,Haight Ashbury
702,1,muni,Haight Ashbury
703,1,th,Haight Ashbury
704,1,hilltop,Haight Ashbury
705,1,light,Haight Ashbury
706,1,carl,Haight Ashbury
707,1,special,Haight Ashbury
708,1,cheerful,Haight Ashbury
709,1,transit,Haight Ashbury
710,1,distance,Haight Ashbury
711,1,clean,Haight Ashbury
712,1,apartme,Haight Ashbury
713,1,experie,Haight Ashbury
714,1,hello,Haight Ashbury
715,1,soaring,Haight Ashbury
716,1,bohemian,Haight Ashbury
717,1,feel,Haight Ashbury
718,1,vista,Haight Ashbury
719,1,comes,Haight Ashbury
720,1,within,Haight Ashbury
721,1,family,Haight Ashbury
722,1,mt,Haight Ashbury
723,1,str,Haight Ashbury
724,1,uniquely,Haight Ashbury
725,1,alamo,Haight Ashbury
726,1,era,Haight Ashbury
727,1,designed,Haight Ashbury
728,1,makes,Haight Ashbury
729,1,ful,Haight Ashbury
730,1,free,Haight Ashbury
